variable,missing,model,problem,fold,score,mae,rmse
alcunits,25189,tree,reg,5,0.903268759522914,1.8283147267255608,3.137730150913469
alcunits,25189,tree,reg,6,0.9059917711310111,1.8267032326958548,3.0895096608791444
alcunits,25189,tree,reg,7,0.9044908331774246,1.808696369636964,3.122227678839105
alcunits,25189,tree,reg,8,0.907250931339877,1.8129557367501457,3.030203079461203
alcunits,25189,tree,reg,9,0.9048709226346758,1.8042826635604736,3.1157402979626965
alcunits,25189,tree,reg,10,0.9028725351116188,1.837086973403223,3.160156416229104
alcunits,25189,knn,reg,1,0.9996342115173408,0.0139607805067469,0.1957825148650432
alcunits,25189,knn,reg,2,0.9996323960717576,0.0140141733812251,0.1959293541417083
alcunits,25189,knn,reg,3,0.999955840831575,0.0104950975633433,0.067590953797378
alcunits,25189,knn,reg,4,0.9996295499743636,0.0135928550626152,0.1954971707530553
alcunits,25189,knn,reg,5,0.9996238837786928,0.0138345791670711,0.1956560333098536
alcunits,25189,knn,reg,6,0.9996212608775156,0.0140966896417823,0.1960995994577365
alcunits,25189,knn,reg,7,0.999626563576535,0.0134333139196272,0.1952317192196948
alcunits,25189,knn,reg,8,0.9998264816460044,0.0124839836924869,0.1310658855539738
alcunits,25189,knn,reg,9,0.9996254168334336,0.0136536594835954,0.19551439453452
alcunits,25189,knn,reg,10,0.9996277204110487,0.0137361677344205,0.1956465370575943
ccvabage,21324,lin,reg,1,0.1928487608940672,5.365628855504753,7.946520024013853
ccvabage,21324,lin,reg,2,0.1954678708609704,5.333817126269956,7.915436591218966
ccvabage,21324,lin,reg,3,0.1941330522079796,5.34078374455733,7.9453412151193
ccvabage,21324,lin,reg,4,0.1949693198554987,5.267126269956458,7.802938488582604
ccvabage,21324,lin,reg,5,0.1976250592426476,5.318940493468795,7.89234072313059
ccvabage,21324,lin,reg,6,0.1920816040991123,5.315384615384615,7.875150607908548
ccvabage,21324,lin,reg,7,0.1921958905225095,5.395863570391873,8.00434841907405
ccvabage,21324,lin,reg,8,0.1932722070925785,5.352467343976778,7.933664561960798
ccvabage,21324,lin,reg,9,0.1943271454724898,5.33388969521045,7.879328469245965
ccvabage,21324,lin,reg,10,0.1919844016755137,5.348040638606676,7.928014299949464
ccvabage,21324,tree,reg,1,0.9518643407436956,1.1781696784962623,1.940586408230508
ccvabage,21324,tree,reg,2,0.9535446512936826,1.1633526850507985,1.9020461062815748
ccvabage,21324,tree,reg,3,0.9531187035131096,1.1614658925979682,1.9163758429788704
ccvabage,21324,tree,reg,4,0.9508014258231346,1.1515965166908564,1.9289822248539803
ccvabage,21324,tree,reg,5,0.9520945489285844,1.166255442670537,1.9284554683654989
ccvabage,21324,tree,reg,6,0.9530105219372466,1.1697387518142237,1.8992206789175043
ccvabage,21324,tree,reg,7,0.954687232658424,1.1571843251088534,1.8957595335375603
ccvabage,21324,tree,reg,8,0.9548101105704124,1.1555878084179971,1.8777205710157396
ccvabage,21324,tree,reg,9,0.952930883804329,1.1536284470246734,1.9044863388336664
ccvabage,21324,tree,reg,10,0.9531826366019536,1.1683599419448476,1.908349996652668
ccvabage,21324,knn,reg,1,1.0,0.0,0.0
ccvabage,21324,knn,reg,2,1.0,0.0,0.0
ccvabage,21324,knn,reg,3,1.0,0.0,0.0
ccvabage,21324,knn,reg,4,1.0,0.0,0.0
ccvabage,21324,knn,reg,5,1.0,0.0,0.0
ccvabage,21324,knn,reg,6,1.0,0.0,0.0
ccvabage,21324,knn,reg,7,1.0,0.0,0.0
ccvabage,21324,knn,reg,8,1.0,0.0,0.0
ccvabage,21324,knn,reg,9,1.0,0.0,0.0
ccvabage,21324,knn,reg,10,1.0,0.0,0.0
ccdepage,9408,lin,reg,1,0.2441668374357096,6.13577375122429,8.570559913152866
ccdepage,9408,lin,reg,2,0.2491031224072519,6.153648383937316,8.581813732211744
ccdepage,9408,lin,reg,3,0.2493751288340383,6.1342637936663404,8.56803350668793
ccdepage,9408,lin,reg,4,0.2468859601341592,6.179562520404832,8.61377921095819
ccdepage,9408,lin,reg,5,0.2473676106010303,6.161483839373164,8.602398799147572
ccdepage,9408,lin,reg,6,0.2461732294524012,6.1457721188377405,8.578638938275738
ccdepage,9408,lin,reg,7,0.2457343208952783,6.168788769180542,8.62424321368634
ccdepage,9408,lin,reg,8,0.2452139378744883,6.153805345847786,8.589975319201619
ccdepage,9408,lin,reg,9,0.2433404963832051,6.178371760865129,8.63485626432602
ccdepage,9408,lin,reg,10,0.2472031027804375,6.13034074678637,8.575285614052692
ccdepage,9408,tree,reg,1,0.9574209787249768,1.293135814560888,2.034201925342128
ccdepage,9408,tree,reg,2,0.9580853795845612,1.295666013712047,2.027550609892991
ccdepage,9408,tree,reg,3,0.958468078785092,1.2889732288605942,2.0153973902306417
ccdepage,9408,tree,reg,4,0.9579366956527502,1.294360104472739,2.0357060010288515
ccdepage,9408,tree,reg,5,0.9576518285502964,1.3050930460333008,2.040541592373378
ccdepage,9408,tree,reg,6,0.957452598542111,1.293788769180542,2.0380701664233185
ccdepage,9408,tree,reg,7,0.9581032486991587,1.307541625857003,2.032586312362984
ccdepage,9408,tree,reg,8,0.9578694624566184,1.2917363803305448,2.02945058063832
ccdepage,9408,tree,reg,9,0.9581013348617452,1.304590899816364,2.031912305896417
ccdepage,9408,tree,reg,10,0.9573480484801088,1.299122628035095,2.041169813941268
ccdepage,9408,knn,reg,1,1.0,0.0,0.0
ccdepage,9408,knn,reg,2,1.0,0.0,0.0
ccdepage,9408,knn,reg,3,1.0,0.0,0.0
ccdepage,9408,knn,reg,4,1.0,0.0,0.0
ccdepage,9408,knn,reg,5,1.0,0.0,0.0
ccdepage,9408,knn,reg,6,1.0,0.0,0.0
ccdepage,9408,knn,reg,7,1.0,0.0,0.0
ccdepage,9408,knn,reg,8,1.0,0.0,0.0
ccdepage,9408,knn,reg,9,1.0,0.0,0.0
ccdepage,9408,knn,reg,10,1.0,0.0,0.0
hxtobcpd,19104,lin,reg,1,0.0842802027431531,7.459440324523039,10.37615408219384
hxtobcpd,19104,lin,reg,2,0.0908691169221996,7.433749524654583,10.36813982350115
hxtobcpd,19104,lin,reg,3,0.0859379801984144,7.449787045252883,10.346767909504518
hxtobcpd,19104,lin,reg,4,0.087010510378212,7.415115350488022,10.354520081277348
hxtobcpd,19104,lin,reg,5,0.0860383365220616,7.419081632653061,10.35127400131858
hxtobcpd,19104,lin,reg,6,0.0884205246549338,7.452059196349347,10.37232756687326
hxtobcpd,19104,lin,reg,7,0.0889947175127937,7.462643554316136,10.391915671002192
hxtobcpd,19104,lin,reg,8,0.0878010045275715,7.4487159335784,10.35671615618897
hxtobcpd,19104,lin,reg,9,0.091088873413365,7.460361896311319,10.39010468496018
hxtobcpd,19104,lin,reg,10,0.0853461676038718,7.434130434782609,10.364906573681742
hxtobcpd,19104,tree,reg,1,0.9572993062348402,1.4172903593839132,2.2406425349407733
hxtobcpd,19104,tree,reg,2,0.956695653696498,1.4182215743440234,2.262837584389318
hxtobcpd,19104,tree,reg,3,0.9575142345988186,1.399020154645709,2.23068680744442
hxtobcpd,19104,tree,reg,4,0.9553601476619238,1.4400868297629612,2.289593905532151
hxtobcpd,19104,tree,reg,5,0.9564934748966774,1.4316941310685765,2.258431972973644
hxtobcpd,19104,tree,reg,6,0.9571616687945532,1.4160597033844593,2.248512088130788
hxtobcpd,19104,tree,reg,7,0.9575652009934952,1.4162498415515274,2.242829402899569
hxtobcpd,19104,tree,reg,8,0.9567934385724324,1.41265306122449,2.2539907595248305
hxtobcpd,19104,tree,reg,9,0.9574103355475488,1.4156160476613004,2.249113241970262
